tanggal,wilayah,ispu,kategori,pm25
2025-11-24,DKI Jakarta,52,Baik,51
2025-11-25,DKI Jakarta,54,Sedang,52
2025-11-26,DKI Jakarta,55,Sedang,55
2025-11-27,DKI Jakarta,60,Sedang,60
2025-11-28,DKI Jakarta,78,Sedang,78
2025-11-29,DKI Jakarta,70,Sedang,69
2025-11-30,DKI Jakarta,79,Sedang,76
2025-11-24,Jakarta Pusat,57,Sedang,57
2025-11-25,Jakarta Pusat,58,Sedang,58
2025-11-26,Jakarta Pusat,61,Sedang,61
2025-11-27,Jakarta Pusat,64,Sedang,64
2025-11-28,Jakarta Pusat,120,Tidak Sehat,120
2025-11-29,Jakarta Pusat,79,Sedang,79
2025-11-30,Jakarta Pusat,88,Sedang,88
2025-11-24,Jakarta Utara,42,Baik,37
2025-11-25,Jakarta Utara,42,Baik,36
2025-11-26,Jakarta Utara,50,Baik,50
2025-11-27,Jakarta Utara,59,Sedang,59
2025-11-28,Jakarta Utara,74,Sedang,74
2025-11-29,Jakarta Utara,69,Sedang,69
2025-11-30,Jakarta Utara,80,Sedang,80
2025-11-24,Jakarta Barat,60,Sedang,60
2025-11-25,Jakarta Barat,60,Sedang,60
2025-11-26,Jakarta Barat,58,Sedang,58
2025-11-27,Jakarta Barat,64,Sedang,64
2025-11-28,Jakarta Barat,72,Sedang,72
2025-11-29,Jakarta Barat,66,Sedang,66
2025-11-30,Jakarta Barat,84,Sedang,84
2025-11-23,Jakarta Selatan,63,Sedang,63
2025-11-25,Jakarta Selatan,62,Sedang,62
2025-11-26,Jakarta Selatan,63,Sedang,63
2025-11-27,Jakarta Selatan,56,Sedang,56
2025-11-28,Jakarta Selatan,57,Sedang,56
2025-11-29,Jakarta Selatan,65,Sedang,61
2025-11-30,Jakarta Selatan,79,Sedang,68
2025-11-24,Jakarta Timur,49,Baik,49
2025-11-25,Jakarta Timur,46,Baik,46
2025-11-26,Jakarta Timur,45,Baik,45
2025-11-27,Jakarta Timur,57,Sedang,57
2025-11-28,Jakarta Timur,67,Sedang,67
2025-11-29,Jakarta Timur,69,Sedang,69
2025-11-30,Jakarta Timur,62,Sedang,62
