wilayah,tanggal,ispu
Jakarta Pusat,2025-11-24,57
Jakarta Pusat,2025-11-25,58
Jakarta Pusat,2025-11-26,61
Jakarta Pusat,2025-11-27,64
Jakarta Pusat,2025-11-28,120
Jakarta Pusat,2025-11-29,79
Jakarta Pusat,2025-11-30,88
Jakarta Utara,2025-11-24,42
Jakarta Utara,2025-11-25,42
Jakarta Utara,2025-11-26,50
Jakarta Utara,2025-11-27,59
Jakarta Utara,2025-11-28,74
Jakarta Utara,2025-11-29,69
Jakarta Utara,2025-11-30,80
Jakarta Barat,2025-11-24,60
Jakarta Barat,2025-11-25,60
Jakarta Barat,2025-11-26,58
Jakarta Barat,2025-11-27,64
Jakarta Barat,2025-11-28,72
Jakarta Barat,2025-11-29,66
Jakarta Barat,2025-11-30,84
Jakarta Selatan,2025-11-23,63
Jakarta Selatan,2025-11-25,62
Jakarta Selatan,2025-11-26,63
Jakarta Selatan,2025-11-27,56
Jakarta Selatan,2025-11-28,57
Jakarta Selatan,2025-11-29,65
Jakarta Selatan,2025-11-30,79
Jakarta Timur,2025-11-24,49
Jakarta Timur,2025-11-25,46
Jakarta Timur,2025-11-26,45
Jakarta Timur,2025-11-27,57
Jakarta Timur,2025-11-28,67
Jakarta Timur,2025-11-29,69
Jakarta Timur,2025-11-30,62
